Scenario - visual LTP Rap V4.0 HVC (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 10/23/2015 13:03:15

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
07_S0314_v0	74	Picture	full0n	867679	0	1	4833	3	0	4790	other	0
07_S0314_v0	75	Picture	full0i	880346	0	1	3333	2	0	3290	other	0
07_S0314_v0	76	Picture	full1i	893846	0	1	3500	2	0	3450	other	0
07_S0314_v0	77	Picture	full1n	906513	0	1	3833	3	0	3790	other	0
07_S0314_v0	78	Picture	full0n	919346	0	2	4500	4	0	4450	other	0
07_S0314_v0	79	Picture	full0i	931513	0	2	2500	3	0	2450	other	0
07_S0314_v0	80	Picture	full1i	942347	0	1	4166	3	0	4120	other	0
07_S0314_v0	81	Picture	blue0n	955180	0	2	4667	3	0	4620	false_alarm	88
07_S0314_v0	81	Response	10	959427	4247	2
07_S0314_v0	82	Picture	full1n	966180	0	2	2500	4	0	2450	other	0
07_S0314_v0	83	Picture	full1i	978514	0	1	3500	2	0	3450	other	0
07_S0314_v0	84	Picture	full1n	989514	0	1	3167	2	0	3120	other	0
07_S0314_v0	85	Picture	full1i	1002681	0	1	3000	2	0	2950	other	0
07_S0314_v0	86	Picture	full0i	1014181	0	2	3334	3	0	3290	other	0
07_S0314_v0	87	Picture	full0n	1025681	0	2	3000	4	0	2950	other	0
07_S0314_v0	88	Picture	full1n	1038015	0	1	3000	2	0	2950	other	0
07_S0314_v0	89	Picture	full1i	1050182	0	1	3666	3	0	3620	other	0
07_S0314_v0	90	Picture	full1n	1063349	0	1	4000	2	0	3950	other	0
07_S0314_v0	91	Picture	full1i	1074682	0	1	4834	2	0	4790	other	0
07_S0314_v0	92	Picture	full1n	1087849	0	1	2500	2	0	2450	other	0
07_S0314_v0	93	Picture	full0i	1099182	0	2	4500	4	0	4450	other	0
07_S0314_v0	94	Picture	blue1i	1110516	0	1	3333	3	0	3290	false_alarm	102
07_S0314_v0	94	Response	10	1114427	3911	2
07_S0314_v0	95	Picture	full1n	1122349	0	2	4501	3	0	4450	other	0
07_S0314_v0	96	Picture	full0n	1135516	0	2	4167	3	0	4120	other	0
07_S0314_v0	97	Picture	full1i	1147017	0	1	3833	2	0	3790	other	0
07_S0314_v0	98	Picture	full1n	1158017	0	1	4500	2	0	4450	other	0
07_S0314_v0	99	Picture	full1i	1171183	0	2	2834	3	0	2790	other	0
07_S0314_v0	100	Picture	full1n	1182017	0	1	3833	3	0	3790	other	0
07_S0314_v0	101	Picture	full1i	1194184	0	1	4500	2	0	4450	other	0
07_S0314_v0	102	Picture	full0i	1205017	0	2	3667	3	0	3620	other	0
07_S0314_v0	103	Picture	blue1n	1216018	0	1	4500	2	0	4450	false_alarm	112
07_S0314_v0	103	Response	10	1220127	4109	2
07_S0314_v0	104	Picture	full1i	1227018	0	1	4500	2	0	4450	other	0
07_S0314_v0	105	Picture	full1n	1240518	0	1	4667	2	0	4620	other	0
07_S0314_v0	106	Picture	full1i	1252351	0	2	3167	3	0	3120	other	0
07_S0314_v0	107	Picture	full1n	1265852	0	1	2666	3	0	2620	other	0
07_S0314_v0	108	Picture	full0n	1277685	0	1	4667	2	0	4620	other	0
07_S0314_v0	109	Picture	full0i	1289852	0	1	5000	2	0	4950	other	0
07_S0314_v0	110	Picture	full1i	1302185	0	2	3500	4	0	3450	other	0
07_S0314_v0	111	Picture	full1n	1315686	0	1	4833	2	0	4790	other	0
07_S0314_v0	112	Picture	blue0n	1328019	0	2	4500	4	0	4450	false_alarm	122
07_S0314_v0	112	Response	10	1333117	5098	2
07_S0314_v0	113	Picture	full0i	1339353	0	1	2666	3	0	2620	other	0
07_S0314_v0	114	Picture	full1i	1350853	0	1	3167	2	0	3120	other	0
07_S0314_v0	115	Picture	full0n	1363520	0	1	3166	3	0	3120	other	0
07_S0314_v0	116	Picture	full0i	1374353	0	2	3167	3	0	3120	other	0
07_S0314_v0	117	Picture	full0n	1386187	0	1	3166	3	0	3120	other	0
07_S0314_v0	118	Picture	full1n	1399020	0	2	3834	3	0	3790	other	0
07_S0314_v0	119	Picture	full1i	1412520	0	2	4834	3	0	4790	other	0
07_S0314_v0	120	Picture	full1n	1425354	0	1	4500	2	0	4450	other	0
07_S0314_v0	121	Picture	blue0i	1436688	0	1	4500	2	0	4450	false_alarm	132
07_S0314_v0	121	Response	10	1441317	4629	2
07_S0314_v0	122	Picture	full0n	1448521	0	1	5000	2	0	4950	other	0
07_S0314_v0	123	Picture	full1i	1459521	0	2	2500	3	0	2450	other	0
07_S0314_v0	124	Picture	full0i	1471855	0	1	4666	3	0	4620	other	0
07_S0314_v0	125	Picture	full0n	1483188	0	2	3167	3	0	3120	other	0
07_S0314_v0	126	Picture	full0i	1494522	0	1	4333	2	0	4290	other	0
07_S0314_v0	127	Picture	full0n	1506022	0	1	3667	2	0	3620	other	0
07_S0314_v0	128	Picture	full0i	1517855	0	2	2667	3	0	2620	other	0
07_S0314_v0	129	Picture	blue1n	1531356	0	1	2833	2	0	2790	false_alarm	141
07_S0314_v0	129	Response	10	1535417	4061	2
07_S0314_v0	130	Picture	full0n	1544856	0	1	5000	2	0	4950	other	0
07_S0314_v0	131	Picture	full1i	1555856	0	1	3333	3	0	3290	other	0
07_S0314_v0	132	Picture	full0i	1568523	0	1	2833	2	0	2790	other	0
07_S0314_v0	133	Picture	full0n	1580023	0	1	3833	3	0	3790	other	0
07_S0314_v0	134	Picture	full0i	1592190	0	1	2833	2	0	2790	other	0
07_S0314_v0	135	Picture	full1n	1603023	0	2	3334	3	0	3290	other	0
07_S0314_v0	136	Picture	82	1614357	0	1	100168	3	0	next	other	0
07_S0314_v0	136	Picture	82	1714525	100168	2	10000	6	100000	next	other	0
07_S0314_v0	136	Picture	82	1724525	110168	4	10000	13	110000	next	other	0
07_S0314_v0	136	Picture	82	1734525	120168	9	10000	11	120000	next	other	0
07_S0314_v0	136	Picture	82	1744525	130168	2	10000	4	130000	next	other	0
07_S0314_v0	136	Picture	82	1754525	140168	2	10000	4	140000	next	other	0
07_S0314_v0	136	Picture	82	1764525	150168	2	10001	3	150000	next	other	0
07_S0314_v0	136	Picture	82	1774526	160169	1	10000	2	160000	next	other	0
07_S0314_v0	136	Picture	82	1784526	170169	1	9999	5	170000	next	other	0
07_S0314_v0	136	Picture	82	1794525	180168	4	10001	6	180000	next	other	0
07_S0314_v0	136	Picture	82	1804526	190169	2	10000	4	190000	10000	other	0
