Scenario - visual LTP Rap V4.0 HVC (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 10/08/2015 17:26:19

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
04_S0311_v0	82	Picture	full1n	972656	0	1	2500	2	0	2450
04_S0311_v0	83	Picture	full1i	985156	0	1	3500	2	0	3450
04_S0311_v0	84	Picture	full1n	996322	0	1	3167	2	0	3120
04_S0311_v0	85	Picture	full1i	1009655	0	1	3000	2	0	2950
04_S0311_v0	86	Picture	full0i	1021322	0	1	3333	2	0	3290
04_S0311_v0	87	Picture	full0n	1032988	0	2	3000	3	0	2950
04_S0311_v0	88	Picture	full1n	1045488	0	1	3000	2	0	2950
04_S0311_v0	89	Picture	full1i	1057655	0	1	3666	2	0	3620
04_S0311_v0	90	Picture	full1n	1070988	0	1	4000	2	0	3950
04_S0311_v0	91	Picture	full1i	1082321	0	1	4833	3	0	4790
04_S0311_v0	92	Picture	full1n	1095654	0	2	2500	3	0	2450
04_S0311_v0	93	Picture	full0i	1106988	0	1	4500	2	0	4450
04_S0311_v0	94	Picture	blue1i	1118321	0	1	3333	2	0	3290
04_S0311_v0	94	Response	10	1125812	7491	1
04_S0311_v0	95	Picture	full1n	1130154	0	1	4500	2	0	4450
04_S0311_v0	96	Picture	full0n	1143487	0	1	4167	2	0	4120
04_S0311_v0	97	Picture	full1i	1155154	0	1	3833	2	0	3790
04_S0311_v0	98	Picture	full1n	1166320	0	1	4500	2	0	4450
04_S0311_v0	99	Picture	full1i	1179654	0	1	2833	2	0	2790
04_S0311_v0	100	Picture	full1n	1190487	0	1	3833	2	0	3790
04_S0311_v0	101	Picture	full1i	1202653	0	1	4500	2	0	4450
04_S0311_v0	102	Picture	full0i	1213486	0	2	3667	3	0	3620
04_S0311_v0	103	Picture	blue1n	1224653	0	1	4500	2	0	4450
04_S0311_v0	103	Response	10	1229911	5258	1
04_S0311_v0	104	Picture	full1i	1235820	0	1	4500	2	0	4450
04_S0311_v0	105	Picture	full1n	1249319	0	2	4667	3	0	4620
04_S0311_v0	106	Picture	full1i	1261153	0	1	3166	2	0	3120
04_S0311_v0	107	Picture	full1n	1274652	0	2	2667	3	0	2620
04_S0311_v0	108	Picture	full0n	1286486	0	1	4666	2	0	4620
04_S0311_v0	109	Picture	full0i	1298652	0	1	5000	2	0	4950
04_S0311_v0	110	Picture	full1i	1311152	0	1	3500	2	0	3450
04_S0311_v0	111	Picture	full1n	1324652	0	1	4833	2	0	4790
04_S0311_v0	112	Picture	blue0n	1337152	0	1	4500	2	0	4450
04_S0311_v0	112	Response	10	1342509	5357	1
04_S0311_v0	113	Picture	full0i	1348485	0	1	2667	2	0	2620
04_S0311_v0	114	Picture	full1i	1360152	0	1	3166	2	0	3120
04_S0311_v0	115	Picture	full0n	1372818	0	1	3167	2	0	3120
04_S0311_v0	116	Picture	full0i	1383651	0	1	3167	2	0	3120
04_S0311_v0	117	Picture	full0n	1395485	0	1	3166	2	0	3120
04_S0311_v0	118	Picture	full1n	1408484	0	2	3834	3	0	3790
04_S0311_v0	119	Picture	full1i	1421984	0	1	4834	2	0	4790
04_S0311_v0	120	Picture	full1n	1434984	0	1	4500	2	0	4450
04_S0311_v0	121	Picture	blue0i	1446317	0	1	4500	2	0	4450
04_S0311_v0	121	Response	10	1452307	5990	1
04_S0311_v0	122	Picture	full0n	1458151	0	1	4999	3	0	4950
04_S0311_v0	123	Picture	full1i	1469317	0	1	2500	2	0	2450
04_S0311_v0	124	Picture	full0i	1481817	0	1	4667	2	0	4620
04_S0311_v0	125	Picture	full0n	1493150	0	1	3167	2	0	3120
04_S0311_v0	126	Picture	full0i	1504483	0	2	4334	3	0	4290
04_S0311_v0	127	Picture	full0n	1516150	0	1	3667	2	0	3620
04_S0311_v0	128	Picture	full0i	1527983	0	1	2667	2	0	2620
04_S0311_v0	129	Picture	blue1n	1541483	0	1	2833	2	0	2790
04_S0311_v0	130	Picture	full0n	1554983	0	1	5000	2	0	4950
04_S0311_v0	131	Picture	full1i	1566149	0	2	3334	3	0	3290
04_S0311_v0	132	Picture	full0i	1578816	0	1	2833	2	0	2790
04_S0311_v0	133	Picture	full0n	1590482	0	2	3834	3	0	3790
04_S0311_v0	134	Picture	full0i	1602649	0	1	2833	2	0	2790
04_S0311_v0	135	Picture	full1n	1613482	0	1	3334	2	0	3290
04_S0311_v0	136	Picture	82	1624815	0	2	100166	3	0	next
04_S0311_v0	136	Picture	82	1724981	100166	1	10000	2	100000	next
04_S0311_v0	136	Picture	82	1734981	110166	1	10000	2	110000	next
04_S0311_v0	136	Picture	82	1744981	120166	1	10000	2	120000	next
04_S0311_v0	136	Picture	82	1754981	130166	1	10000	2	130000	next
04_S0311_v0	136	Picture	82	1764981	140166	1	10000	2	140000	next
04_S0311_v0	136	Picture	82	1774981	150166	1	9999	2	150000	next
04_S0311_v0	136	Picture	82	1784980	160165	1	10000	2	160000	next
04_S0311_v0	136	Picture	82	1794980	170165	1	10000	2	170000	next
04_S0311_v0	136	Picture	82	1804980	180165	1	10000	2	180000	next
04_S0311_v0	136	Picture	82	1814980	190165	1	10000	2	190000	10000
04_S0311_v0	137	Picture	full0n	1824980	0	1	3167	2	0	3120
04_S0311_v0	138	Picture	full0i	1837480	0	1	2833	2	0	2790
04_S0311_v0	139	Picture	full0n	1850480	0	1	4500	2	0	4450
04_S0311_v0	140	Picture	full1n	1862146	0	1	3500	2	0	3450
04_S0311_v0	141	Picture	blue0i	1875646	0	1	4833	2	0	4790
04_S0311_v0	141	Response	10	1880500	4854	1
04_S0311_v0	142	Picture	full0n	1887813	0	1	4333	2	0	4290
04_S0311_v0	143	Picture	full1i	1900313	0	1	3500	2	0	3450
04_S0311_v0	144	Picture	full1n	1911479	0	1	4167	2	0	4120
04_S0311_v0	145	Picture	full1i	1922812	0	1	3000	2	0	2950
04_S0311_v0	146	Picture	full0i	1934979	0	1	3833	2	0	3790
04_S0311_v0	147	Picture	full1n	1946145	0	1	5000	2	0	4950
04_S0311_v0	148	Picture	full1i	1958812	0	1	4167	2	0	4120
04_S0311_v0	149	Picture	blue0n	1970978	0	2	4167	3	0	4120
04_S0311_v0	149	Response	10	1975598	4620	1
04_S0311_v0	150	Picture	full0i	1983645	0	1	3667	2	0	3620
04_S0311_v0	151	Picture	full0n	1994478	0	1	4500	2	0	4450
04_S0311_v0	152	Picture	full0i	2006978	0	1	3333	2	0	3290
04_S0311_v0	153	Picture	full0n	2019478	0	1	4333	2	0	4290
04_S0311_v0	154	Picture	full1n	2031644	0	2	4667	3	0	4620
04_S0311_v0	155	Picture	full0i	2044978	0	1	2500	2	0	2450
04_S0311_v0	156	Picture	full1i	2055811	0	1	3000	2	0	2950
04_S0311_v0	157	Picture	full0n	2066977	0	2	5000	3	0	4950
